plate,S_target,alpha,gamma,p_critical,k_field_to_alt,interval_days
Plate1,0.9,0.1,0,0.200001016,0.009730354,180
Plate1,0.9,0.1,1,0.200001016,0.009730354,180
Plate1,0.9,0.1,2,0.200001016,0.009730354,180
Plate1,0.9,0.1,3,0.200001016,0.009730354,180
Plate1,0.9,0.05,0,0.200001016,0.009730354,176.6421233
Plate1,0.9,0.05,1,0.200001016,0.009730354,149.0075358
Plate1,0.9,0.05,2,0.200001016,0.009730354,128.8945329
Plate1,0.9,0.05,3,0.200001016,0.009730354,113.5885518
Plate1,0.9,0.02,0,0.200001016,0.009730354,74.09254936
Plate1,0.9,0.02,1,0.200001016,0.009730354,62.11257723
Plate1,0.9,0.02,2,0.200001016,0.009730354,53.47147985
Plate1,0.9,0.02,3,0.200001016,0.009730354,46.94303887
Plate1,0.9,0.01,0,0.200001016,0.009730354,37.73245602
Plate1,0.9,0.01,1,0.200001016,0.009730354,31.54466131
Plate1,0.9,0.01,2,0.200001016,0.009730354,27.10099938
Plate1,0.9,0.01,3,0.200001016,0.009730354,23.75498
